_id,term,frequency,kb_id,type
67118a0da620e436ef12f9dc,glenville,6,,LOC
67118a0da620e436ef12fa68,gulf,6,,LOC
67118a0da620e436ef12fa85,river road,6,,LOC
67118a0da620e436ef12fa8e,brakeman cumb,33,,LOC
67118a0ea620e436ef12fb55,"laborer
8-1-50",3,,LOC
67118a0ea620e436ef12fc16,extra east,6,,LOC
67118a0ea620e436ef12fc37,north 234156,3,,LOC
67118a0ea620e436ef12fc46,sta brewst,3,,LOC
67118a0ea620e436ef12fc71,mt. clare junction,6,,LOC
67118a0ea620e436ef12fca9,vol,18,,LOC
67118a0fa620e436ef12fda3,roetor,3,,LOC
67118a0fa620e436ef12fdb0,mt. clare jet,6,,LOC
67118a0fa620e436ef12fe2d,bonded geographical,3,,LOC
67118a0fa620e436ef12febb,the south pleasant night,3,,LOC
67118a0fa620e436ef12ff83,"extra-$55.07 r50b
",3,,LOC
67118a10a620e436ef130084,laborer springfield,3,,LOC
67118a10a620e436ef130188,southern region,6,,LOC
67118a10a620e436ef13018e,the southern region,3,,LOC
67118a10a620e436ef1301cb,mexic,6,,LOC
67118a10a620e436ef130203,mona en,3,,LOC
67118a10a620e436ef130235,merchant(ie merchant,3,,LOC
67118a10a620e436ef130255,mt.vernon,6,,LOC
67118a10a620e436ef1302b9,scindv,3,,LOC
67118a11a620e436ef1302fc,western md. connection,3,,LOC
67118a11a620e436ef1302ff,extra east 4583,3,,LOC
67118a11a620e436ef1303a0,trucked cleveland,3,,LOC
67118a11a620e436ef1305d2,trackman sea,3,,LOC
67118a11a620e436ef1306a9,huar,3,,LOC
67118a12a620e436ef1307d8,loea sf b.,3,,LOC
67118a12a620e436ef1307ff,bay view district balto,3,,LOC
67118a12a620e436ef13083a,nh,24,,LOC
67118a12a620e436ef130863,"laborer
st.louis",3,,LOC
67118a12a620e436ef13090d,occupation helper b.&m.,3,,LOC
67118a12a620e436ef130963,bend rss533.5 bend,3,,LOC
67118a12a620e436ef1309b9,grade italy,3,,LOC
67118a12a620e436ef1309e4,draftman valley pk,3,,LOC
67118a12a620e436ef130a2a,bpsreqn,3,,LOC
67118a13a620e436ef130b6d,mt. jewett,15,,LOC
67118a13a620e436ef130c36,ballast dresser,3,,LOC
67118a13a620e436ef130c40,hyattsville,36,,LOC
67118a13a620e436ef130c7f,mt. healthy,3,,LOC
67118a13a620e436ef130cae,w dep,3,,LOC
67118a13a620e436ef130cbc,foreman toledo,6,,LOC
67118a13a620e436ef130cc9,the peckham coal and ice co.,3,,LOC
67118a13a620e436ef130dd5,"mt. airy
loc",3,,LOC
67118a13a620e436ef130de3,mt. airy junction,3,,LOC
67118a13a620e436ef130e28,smithburg,6,,LOC
67118a13a620e436ef130e2b,signal west,3,,LOC
67118a13a620e436ef130ed6,purld,6,,LOC
67118a13a620e436ef13101a,cumberland cumberland m.,3,,LOC
67118a13a620e436ef13102f,sleepy creek,3,,LOC
67118a14a620e436ef131309,the south door,3,,LOC
67118a14a620e436ef13130a,the east end of,6,,LOC
67118a14a620e436ef13130b,the curry building,3,,LOC
67118a14a620e436ef131313,transportsities,3,,LOC
67118a14a620e436ef131370,"laborer
1-24-29",3,,LOC
67118a14a620e436ef131371,"laborer
date",3,,LOC
67118a14a620e436ef131384,lake,18,,LOC
67118a14a620e436ef131476,"lanigan
married
",3,,LOC
67118a14a620e436ef131481,o. east,9,,LOC
67118a14a620e436ef1315fa,mt. clare district,6,,LOC
67118a14a620e436ef13161c,"middle rodriguez
rodriguez",3,,LOC
67118a14a620e436ef1316d8,sec lake        ,3,,LOC
67118a14a620e436ef131783,moldecification area,3,,LOC
67118a14a620e436ef13187b,mt. glenwood,3,,LOC
67118a14a620e436ef131894,helper west,3,,LOC
67118a14a620e436ef131903,west end baltimore,3,,LOC
67118a14a620e436ef131908,vine st. siding,3,,LOC
67118a14a620e436ef13197b,brothers crossover,3,,LOC
67118a14a620e436ef1319aa,tracklocker         niagara                                                                                         consol,3,,LOC
67118a14a620e436ef131b3a,"hazelton
youngstown",3,,LOC
67118a14a620e436ef131b66,.37 fmd,3,,LOC
67118a14a620e436ef131b74,salamanca central,3,,LOC
67118a14a620e436ef131b94,south x,3,,LOC
67118a14a620e436ef131ca7,statics,3,,LOC
67118a14a620e436ef131d14,mt. clare dist,3,,LOC
67118a15a620e436ef131e2f,western sub,9,,LOC
67118a15a620e436ef131f0d,contd,3,,LOC
67118a15a620e436ef131f6a,"laborer
",6,,LOC
67118a15a620e436ef131fe3,central region,15,,LOC
67118a15a620e436ef132010,"b'maker helper
helper",3,,LOC
67118a15a620e436ef1320a3,quinn middle date,3,,LOC
67118a15a620e436ef132123,the east end,9,,LOC
67118a15a620e436ef132161,"blast fum
b&o",3,,LOC
67118a15a620e436ef1321a0,masons helper,3,,LOC
67118a15a620e436ef1322fc,resau,3,,LOC
67118a15a620e436ef13231a,dubois foxburg,3,,LOC
67118a15a620e436ef13234d,battery a,3,,LOC
67118a15a620e436ef132422,inn buffalo,3,,LOC
67118a15a620e436ef13246b,location cumberland,3,,LOC
67118a15a620e436ef132500,"huron
shoals",3,,LOC
67118a15a620e436ef13250b,"kocur
",3,,LOC
67118a15a620e436ef13255d,chil.co river,6,,LOC
67118a15a620e436ef13259c,cheat haven,3,,LOC
67118a15a620e436ef1325c3,w va form,3,,LOC
67118a15a620e436ef132689,sonora,3,,LOC
67118a15a620e436ef1326c5,brakeman - west end - baltimore division,3,,LOC
67118a15a620e436ef1326de,esk,6,,LOC
67118a15a620e436ef13276f,eastward,3,,LOC
67118a15a620e436ef132825,"south
",3,,LOC
67118a15a620e436ef13284c,"san
3/2",3,,LOC
67118a15a620e436ef1328a3,north vernon north vernon .605,3,,LOC
67118a15a620e436ef1328fc,mt. airy junction wd,3,,LOC
67118a15a620e436ef132970,clay city,9,,LOC
67118a15a620e436ef1329ac,"laborer
occupation
laborer shop",3,,LOC
67118a15a620e436ef1329bf,hillside grove,3,,LOC
67118a15a620e436ef1329f6,belt slip,3,,LOC
67118a15a620e436ef1329fe,belt slip east,3,,LOC
67118a15a620e436ef1329ff,belt slip west,3,,LOC
67118a15a620e436ef132d23,incaso.,3,,LOC
67118a15a620e436ef132d55,"furlrd
r97a",3,,LOC
67118a15a620e436ef132e17,grebe louis,6,,LOC
67118a15a620e436ef132ea0,south siding,3,,LOC
67118a15a620e436ef132f85,"occupation trackman
sta",3,,LOC
67118a15a620e436ef132fc1,east north,3,,LOC
67118a15a620e436ef132fd3,johnsonburg,3,,LOC
67118a15a620e436ef132ff0,sanduaky ohio,3,,LOC
67118a16a620e436ef1331b2,"laborer
8-14-38",3,,LOC
67118a16a620e436ef1331cf,south cumberland trfd,3,,LOC
67118a16a620e436ef1332e0,east bound,3,,LOC
67118a16a620e436ef1332f3,"shoals
shoals",3,,LOC
67118a16a620e436ef133406,the third sub-division,6,,LOC
67118a16a620e436ef13341f,butler helper west,3,,LOC
67118a16a620e436ef1334ec,"sher
crnic",3,,LOC
67118a16a620e436ef13350e,location dubois,6,,LOC
67118a16a620e436ef133564,"rtfd
6-",3,,LOC
67118a16a620e436ef133610,r-763,3,,LOC
67118a16a620e436ef133660,new river,6,,LOC
67118a16a620e436ef1336b5,homestead,24,,LOC
67118a16a620e436ef1336e2,"bay
",3,,LOC
67118a16a620e436ef1337ec,mt. royal,12,,LOC
67118a16a620e436ef13397d,glenwd,3,,LOC
67118a16a620e436ef1339e5,east point,3,,LOC
67118a16a620e436ef133a1d,asia,3,,LOC
67118a16a620e436ef133a69,"laborer
8-12-46",3,,LOC
67118a16a620e436ef133aa5,riverdale,18,,LOC
67118a16a620e436ef133ab1,the western region rail gang,3,,LOC
67118a16a620e436ef133b80,"world ian
7",3,,LOC
67118a16a620e436ef133b81,aletig,3,,LOC
67118a16a620e436ef133b98,mt. p.,6,,LOC
67118a16a620e436ef133ba1,inroat statua,3,,LOC
67118a16a620e436ef133c0a,"laborer
o.s.c.",3,,LOC
67118a16a620e436ef134000,ward helper,6,,LOC
67118a16a620e436ef134001,switchman c&m,3,,LOC
67118a17a620e436ef134037,tive,6,,LOC
67118a17a620e436ef13405b,east end cumberland frt,3,,LOC
67118a17a620e436ef1340f6,hfgr,3,,LOC
67118a17a620e436ef1342a7,"nam
o. n.
roter",3,,LOC
67118a17a620e436ef13433e,"east
",3,,LOC
67118a17a620e436ef134679,"sta
1-6-43",3,,LOC
67118a17a620e436ef134746,"trucker ohio
",3,,LOC
67118a17a620e436ef134749,.18,3,,LOC
67118a17a620e436ef1347d1,mmnod,3,,LOC
67118a17a620e436ef134863,feliilled s,3,,LOC
67118a17a620e436ef134909,louis schatt,3,,LOC
67118a17a620e436ef13492c,mt. lake park,12,,LOC
67118a17a620e436ef134a0f,the east end baltimore division,12,,LOC
67118a17a620e436ef134b31,mt lake park round,6,,LOC
67118a17a620e436ef134b5a,valley main,3,,LOC
67118a17a620e436ef134be6,leave(acstg,3,,LOC
67118a17a620e436ef134be9,fulld,9,,LOC
67118a17a620e436ef134c2b,da bois,3,,LOC
67118a17a620e436ef134d26,tarr,3,,LOC
67118a17a620e436ef134de8,central district born,3,,LOC
67118a17a620e436ef134df5,central district,3,,LOC
67118a17a620e436ef134e7c,mt. airy - - r1747,3,,LOC
67118a17a620e436ef134f11,indian creek,6,,LOC
67118a17a620e436ef134f8a,mt.litella fconsolates,3,,LOC
67118a17a620e436ef134fad,n9-1-58,3,,LOC
67118a17a620e436ef135035,canyon,3,,LOC
67118a17a620e436ef135063,"inv sta
r5659a",3,,LOC
67118a17a620e436ef1350a1,"keyser
fr",3,,LOC
67118a17a620e436ef1350ee,corps west,3,,LOC
67118a17a620e436ef135157,r3603-d trfd,3,,LOC
